TripID,dist2cent,walkingtime
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,249.5,224.54999999999998
4,34.0,30.599999999999998
5,294.0,264.59999999999997
6,203.0,182.7
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,310.0,279.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,274.0,246.6
22,0.0,0.0
23,105.0,94.5
24,0.0,0.0
25,70.0,63.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,105.0,94.5
31,310.0,279.0
32,1.0,0.8999999999999999
33,1.0,0.8999999999999999
34,157.5,141.75
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,300.0,270.0
40,0.0,0.0
41,0.0,0.0
42,157.5,141.75
43,0.0,0.0
44,0.0,0.0
45,212.0,190.79999999999998
46,249.5,224.54999999999998
47,170.0,153.0
48,0.0,0.0
49,0.0,0.0
