# of veh,served %,Distance,DrivingT,ComputationT(sec)
1,20,38548.49826,60.89799768,3.256391031
1,18,40031.86585,62.37582113,3.496979489
2,33,79281.50262,122.4586702,5.876088781
2,32,79624.81006,122.5830801,5.936706081
3,49,117288.1257,181.4675009,6.891927194
3,47,119462.254,184.1163387,10.28054346
3,49,118627.6912,183.5035882,8.336368446
4,67,159467.8849,246.9571798,10.00268714
4,62,158377.9671,244.9206228,13.17185682
5,75,197921.4926,304.3119901,12.61647784
5,74,199097.2909,305.4630546,11.06019945
6,85,239020.8456,365.3611274,12.11417356
6,85,239599.5731,366.0494308,12.5764614
6,86,237685.8789,364.6645052,12.58764062
7,91,281722.171,428.7128947,13.25868564
7,91,281212.0856,427.8661141,12.66111622
8,100,320850.7036,484.3009381,13.46618074
8,100,321481.5582,485.3920777,15.84534209
