# of veh,demand,served %,Distance,DrivingT,ComputationT
4.0,50.0,92.0,162867.32936388327,244.90643915184432,3.91561484001445
4.0,60.0,85.0,164048.6471832207,247.73152957762755,4.688276923339487
4.0,70.0,75.71428571428571,161297.67055297073,245.8135607372943,7.042549130596791
4.0,80.0,72.5,160313.92331888515,246.2518977585135,8.114582308149606
4.0,90.0,63.33333333333333,161613.80236610677,246.73506982147563,7.966016901664851
4.0,100.0,64.0,159961.79449077463,247.03239265436616,12.96735065976795
4.0,110.0,53.63636363636364,157024.7283358,242.36630444773328,12.65915554253434
4.0,120.0,54.166666666666664,157131.51158924805,242.42534878566406,13.609830386019008
4.0,130.0,51.53846153846153,161448.71961428557,249.5149594857141,15.754332224949724
4.0,140.0,45.714285714285715,158690.11531072384,243.92015374763173,20.77664572210386
4.0,150.0,44.666666666666664,157879.2181486255,243.58895753150065,18.622779416491497
8.0,150.0,75.33333333333333,324678.1886407854,494.73758485438054,28.01845814263731
8.0,140.0,82.14285714285714,317439.3713115274,486.83582841536986,29.98082448949406
8.0,130.0,86.92307692307692,322457.28571649303,491.6930476219907,23.921144716594178
8.0,120.0,91.66666666666666,323946.97338312515,493.67929784416685,17.374703538199412
8.0,110.0,92.72727272727272,325555.80069565127,493.4077342608683,16.94828778910181
8.0,100.0,100.0,320203.3676481965,484.8544901975953,13.768595102442521
8.0,90.0,100.0,294123.2961320804,442.74772817610716,12.842896436769513
4.0,100.0,60.0,159247.16488814083,244.99621985085443,8.333857279552898
4.0,100.0,60.0,157190.4457382255,243.0872609843006,6.647911838226335
4.0,100.0,60.0,159507.7126552038,247.67695020693841,6.993023152620243
4.0,100.0,61.0,162055.01519833683,244.99002026444913,8.031865430585944
4.0,100.0,56.99999999999999,161205.1000734233,243.02346676456443,8.446505147871179
