# of veh,demand,served %,TotalIVT,avgIVT,TotalvehTransDistRatio,EffTransDistRatio,avgoccupancy,Distance,DrivingT,ComputationT
8,50,100,476.1402459,9.522804919,0.918999697,0.033426831,2.421052632,144761.2284,217.1816379,4.654949939
8.0,60.0,91.66666666666666,530.7186502783438,9.649430005060797,0.9922028645967644,0.02474840153970311,2.2830188679245285,160872.52840780732,241.33003787707642,6.681788095387768
8.0,70.0,97.14285714285714,846.2583753439662,12.444976107999503,0.9937987643989964,0.019718466362550584,3.072,203298.0919694357,303.23078929258094,7.131176810749939
8.0,80.0,96.25,964.5135863456733,12.526150472021731,0.9927505907350804,0.020104314923011308,3.2569444444444446,213194.5521967931,321.0927362623908,8.29097609560053
8.0,90.0,93.33333333333333,1144.4139216196795,13.623975257377136,0.9895454624003518,0.019958253383521772,3.3205128205128207,241019.94283141507,361.35992377522007,11.60191248849068
8.0,100.0,87.0,1011.9254656011632,11.631327190817968,0.9979884015898624,0.01668802367392956,3.062111801242236,242642.92652376642,364.85723536502195,14.680042177374233
8.0,110.0,90.0,1147.964861002379,11.595604656589686,0.9787918717235072,0.010652926410275106,2.7934782608695654,279476.492349364,419.80198979915195,19.334327655164977
8.0,120.0,79.16666666666666,1261.5260432953985,13.279221508372617,0.9981139777686953,0.006034554098681314,3.5172413793103448,240567.51310905415,365.59001747873884,20.170975663245464
8.0,130.0,64.61538461538461,943.7896295252144,11.235590827681124,0.9648397374688525,0.011961602977731748,2.8395061728395063,236015.6236846999,355.68749824626656,22.997616927155853
8.0,140.0,70.0,1035.053534997981,10.56177076528552,0.9578868487898489,0.005494709957339646,2.9395604395604398,243789.04332199958,371.7187244293327,26.28070083618038
8.0,150.0,57.99999999999999,890.2980581182474,10.233311012853418,0.9770955150993169,0.01497774588565766,2.7696969696969695,223300.4997426316,339.7339996568421,33.06443029113709
