genT,arivT,TT,taxiT,diff
8.0,24.0,16.0,0.7066666666666667,15.293333333333333
12.0,37.0,25.0,3.1666666666666665,21.833333333333332
5.0,40.0,35.0,0.12933333333333333,34.870666666666665
5.0,42.0,37.0,1.7186666666666666,35.281333333333336
22.0,42.0,20.0,1.0293333333333334,18.970666666666666
23.0,46.0,23.0,2.88,20.12
16.0,50.0,34.0,2.0893333333333333,31.910666666666668
26.0,50.0,24.0,2.236,21.764
23.0,51.80488888888889,28.80488888888889,2.437333333333333,26.367555555555555
27.0,51.80488888888889,24.80488888888889,1.9826666666666666,22.822222222222223
39.0,51.80488888888889,12.80488888888889,5.014666666666667,7.790222222222223
24.0,55.0,31.0,3.078666666666667,27.921333333333333
34.0,55.0,21.0,2.8226666666666667,18.177333333333333
46.0,55.0,9.0,4.410666666666667,4.589333333333333
40.0,61.568666666666665,21.568666666666665,6.824,14.744666666666665
57.0,61.568666666666665,4.568666666666665,3.664,0.9046666666666652
3.0,41.0,38.0,5.3613333333333335,32.638666666666666
20.0,44.574888888888886,24.574888888888886,3.505333333333333,21.069555555555553
21.0,44.574888888888886,23.574888888888886,2.949333333333333,20.625555555555554
37.0,44.574888888888886,7.574888888888886,4.225333333333333,3.3495555555555523
31.0,47.0,16.0,2.516,13.484
27.0,47.0,20.0,1.364,18.636
15.0,55.0,40.0,4.456,35.544
12.0,55.0,43.0,3.8653333333333335,39.13466666666667
