x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
1200,1407.0,4,,,21,[59],1,[59],[]
1883.0,2000.0,6,5.701333333333333,0.29866666666666664,70,"[59, 3]",2,[3],[]
0,1791.0,10,8.789333333333333,1.2106666666666666,4,"[59, 3, 87]",3,[87],[]
400,910.0,13,11.708,1.2919999999999998,13,"[59, 3, 87, 19, 50, 69]",6,"[19, 50, 69]",[]
2651.3333333333335,800.0,16.148444444444443,16.148444444444443,0.0,87,"[59, 50, 69]",3,[],"[3, 87, 19]"
2400,1563.0,20,17.500888888888888,2.4991111111111124,55,"[59, 50, 69, 32]",4,[32],[]
2807.0,1200.0,24,21.026666666666667,2.9733333333333327,78,"[59, 50, 69, 32, 63]",5,[63],[]
3594.0,1200.0,26,25.049333333333333,0.9506666666666668,56,"[59, 50, 69, 32, 63, 46]",6,[46],[]
2800,667.0,28,27.769333333333332,0.2306666666666679,73,"[59, 50, 69, 32, 63, 46, 82]",7,[82],[]
2000,251.0,30,29.621333333333332,0.3786666666666676,32,"[59, 50, 69, 32, 63, 46, 82, 7]",8,[7],[]
2400,56.0,31,30.793333333333333,0.206666666666667,52,"[59, 50, 69, 32, 63, 46, 82, 7, 89]",9,[89],[]
2800,989.0,33,32.77733333333333,0.2226666666666688,27,"[59, 50, 69, 32, 63, 46, 82, 7, 89, 97]",10,[97],[]
2800,1424.0,35,33.58,1.4200000000000017,43,"[59, 50, 69, 32, 63, 46, 82, 7, 89, 97, 33]",11,[33],[]
2400,334.0,38,36.986666666666665,1.0133333333333354,26,"[59, 50, 69, 32, 63, 46, 82, 7, 89, 97, 33, 52]",12,[52],[]
1617.0,0.0,41,39.489333333333335,1.5106666666666655,8,"[59, 50, 69, 32, 63, 46, 82, 7, 89, 97, 33, 52, 47]",13,[47],[]
400,1265.0,45,44.309333333333335,0.6906666666666652,5,"[59, 50, 69, 32, 63, 46, 82, 7, 89, 97, 33, 52, 47, 45]",14,[45],[]
718.0,800.0,47,46.044,0.9560000000000031,1,"[59, 50, 69, 32, 63, 46, 82, 7, 89, 97, 33, 52, 47, 45, 14]",15,[14],[]
800,822.875,47.139833333333335,47.139833333333335,0.0,76,"[63, 46, 82, 7, 89, 47, 14]",7,[],"[59, 50, 69, 32, 97, 33, 52, 45]"
2800,100.0,50.77033333333333,50.77033333333333,0.0,77,"[46, 7, 89]",3,[],"[63, 82, 47, 14]"
2000,1866.6666666666667,54.19255555555556,54.19255555555556,0.0,75,[],0,[],"[46, 7, 89]"
1918.0,2000.0,55,54.47966666666667,0.5203333333333333,49,[],0,[],[]
2349.5,2000.0,57,55.57533333333333,1.424666666666667,42,[],0,[],[]
